41 3.1 0.043511663 7 6,0
59 1.95 0.030906414 2 2,1
74 1.740740741 -0.063032025 7 2.5,1
45 2.461538462 -0.003867021 6 6,1
25 4 0.062387782 3 0.5,1
33 3.125 -0.000247002 8 7,1
51 4.1 -0.007437734 7 6,1
38 5.333333333 0.006201164 8 7,1
30 6.5 0.006075986 5 5,1
64 3.266666667 0.005035327 8 7,2
61 1.904761905 0.005187368 3 3,1
37 1.642857143 0.000551737 4 4,1
32 1.666666667 0.032418244 6 5,0
47 1.9375 0.002939081 3 2,0
52 2.25 -0.003673693 3 3,1
28 3.666666667 0.01004121 5 5,1
59 1.681818182 -0.017716801 5 5,1
30 2.75 0.038607971 7 7,1
27 5.75 0.025620472 7 6,0
45 2.461538462 -0.006237175 10 9,2
46 2.285714286 0.010994524 4 1,1
101 2.607142857 0.022152898 4 1,1
49 3.083333333 0.040158788 10 10,1
60 1.5 -0.009179816 6 2,0
106 1.585365854 0.025492203 8 3,1
54 2.375 0.026354558 4 3,1
70 2.5 0.016601506 13 3.333333333,2
36 2 0.01510719 8 7,1
14 3.666666667 -0.001067651 1 1,1
39 2.545454545 -0.000695958 2 2,1
15 6.5 0.001714442 6 6,2
56 1.947368421 -0.002802182 8 7,1
27 3.5 -0.012518813 15 2,1
30 5 -0.008802832 7 6,0
34 2.777777778 -0.024290115 12 5,1
53 3.818181818 0.010574847 1 1,1
37 3.111111111 0.003698293 4 4,1
53 1.789473684 0.004896106 4 1,1
88 2.259259259 -0.005357919 4 1,2
46 2.833333333 -0.014984006 4 3,0
52 2.466666667 -0.008370976 13 13,1
63 2.705882353 -0.003125629 7 7,1
59 1.185185185 -0.046619007 4 4,1
110 3.4 -0.016530836 19 5.333333333,2
115 2.026315789 -0.012777313 14 13,2
73 8.125 -0.017433653 16 16,2
52 2.714285714 -0.010811796 4 3,0
46 1.875 -0.00722428 14 6,0
95 1.638888889 -0.001419395 10 4,0
103 2.551724138 -0.008853001 5 4,1
54 2 -0.03171295 5 4,1
27 2.375 0.003493615 1 1,2
18 1.25 0.008766002 1 1,1
45 1.8125 0.005053074 14 13,1
55 1.75 -0.004679765 1 1,1
48 3 -0.000366847 3 2,1
23 1.875 -0.01399184 6 5,1
